,X,Y,phi
106,296.2171577456937,472.7686293330829,-0.09287560711055676
107,296.2180519913363,472.1977581918922,-0.11445283884408752
108,296.2191779884564,471.6144562324752,-0.13863171338151403
109,296.2206602899818,470.9805041691737,-0.16736981968250575
110,296.222380471563,470.3711367754925,-0.1972167169237906
111,296.2244501245695,469.74892904704495,-0.22996051568293296
112,296.22691372489186,469.113747388664,-0.2657000193808301
113,296.22981895220425,468.4654582858303,-0.30453518511414757
114,296.2332168302463,467.8039283182929,-0.34656710733302987
115,296.23716187041623,467.12902417531444,-0.3918980012070534
116,296.2417122186821,466.4406126726793,-0.44063118568155346
117,296.2472627092227,465.6937669875647,-0.49637298723065726
118,296.2532629680076,464.97707214443795,-0.5524546730934929
119,296.26007084772647,464.24646306372404,-0.6122617633876928
120,296.2682512006712,463.454323554079,-0.6801381510718869
121,296.27696672091963,462.6945938928618,-0.7479703115931216
122,296.28673221068294,461.92054516827704,-0.819860665420336
123,296.2976362586135,461.1320457798204,-0.8959198786078133
124,296.30977240436135,460.32896447692707,-0.976259572102677
125,296.32323931552696,459.51117039977106,-1.060992302075718
126,296.33814096781475,458.67853312368334,-1.1502315399654606
127,296.3545868283528,457.8309227074259,-1.2440916522378416
128,296.37269204214005,456.9682097455659,-1.3426878798642008
129,296.39257762157433,456.0902654252084,-1.4461363175200574
130,296.41437063901213,455.1969615873512,-1.5545538925073856
131,296.4397213300467,454.2303305510214,-1.6754949358069524
132,296.46587953120104,453.3049417527603,-1.7945346535822608
133,296.49437415830084,452.3638057494872,-1.9189065680533872
134,296.52535894442076,451.4067977766596,-2.0487307666329713
135,296.56113415497373,450.3719047412979,-2.192965414638323
136,296.6001044089205,449.3187974678666,-2.3436423303988505
137,296.6399477706233,448.3113889151181,-2.491288034375984
138,296.68572946827067,447.2225153908655,-2.654889352771292
139,296.73239069062197,446.1812006623892,-2.8149534183687877
140,296.7826590892795,445.12326924748993,-2.9812280214605096
141,296.84018124864906,443.98030903798224,-3.165051918707775
142,296.9022743528643,442.8183153518661,-3.356183330927223
143,296.96921165368684,441.63715541732455,-3.5547733121518235
144,297.0369733673926,440.5084047186865,-3.7484181191410357
145,297.11413334408314,439.28967573751936,-3.9619192903818714
146,297.1970095874876,438.0514074052643,-4.183326856271805
147,297.285922920854,436.79347961477396,-4.412794184246522
148,297.37551822191494,435.59205931506426,-4.636034384484063
149,297.4710448195759,434.37303680376283,-4.866674156451808
150,297.5728019143676,433.13632207472125,-5.104842462595613
151,297.68797336778465,431.802203265122,-5.36654673005674
152,297.8035779999841,430.5287265579813,-5.6206521270511445
153,297.92639745998036,429.23730654025104,-5.882682864579792
154,298.06504872614585,427.84478509641497,-6.170189896787974
155,298.20385578128725,426.5161280552464,-6.4489786104330875
156,298.3509693768416,425.16931991143275,-6.736091653372128
157,298.50677025913996,423.8043036963186,-7.031659644246048
158,298.68210894882776,422.3332953523372,-7.355398718212371
159,298.8570901330845,420.930567442976,-7.665174079727805
160,299.04191495164207,419.5094835177361,-7.979226914958559
161,299.24926519408103,417.97872518638013,-8.317772105973276
162,299.46847943523136,416.42712783280683,-8.661216537340636
163,299.68615707995,414.94838583949996,-8.988827502060687
164,299.91503415543264,413.45112012377473,-9.320836949182407
165,300.1554557916952,411.9353024419319,-9.657274214144891
166,300.4237641044076,410.3036686687909,-10.019772586172436
167,300.6891189413183,408.7495172292818,-10.365435846735238
168,300.98473066815484,407.0771066849013,-10.73780514281927
169,301.2765725543879,405.48457230836374,-11.092819189190166
170,301.60116933386644,403.7713594045327,-11.475191998926448
